ID_DESASTRES,FECHA,DEPTO,MUNICIPIO,TIPO_EVENTO,DIVIPOLA,FALLECIDOS,HERIDOS,DESAPA,AFECTADOS,FAMILIAS,VIV_DESTRU,VIV_AVERI,COD_DANE_MP,COD_DEP,COD_MUN,COD_DEP_MUN,ID_DESASTRES
9323UJAI,2014-08-13,MAGDALENA,FUNDACIÓN,VENDAVAL,47288,0,0,0,0,0,0,0,47.288,47,288,47288,9323UJAI
9805NJQE,2014-08-13,NORTE DE SANTANDER,SAN CALIXTO,VENDAVAL,54670,0,0,0,350,70,0,70,54.67,54,670,54670,9805NJQE
7972HPNC,2014-08-13,TOLIMA,IBAGUÉ,INUNDACION,73001,0,0,0,20,4,0,4,73.001,73,001,73001,7972HPNC
8915WDPV,2014-08-13,TOLIMA,SANTA ISABEL,VENDAVAL,73686,0,0,0,40,8,0,8,73.686,73,686,73686,8915WDPV
7515WLJQ,2014-08-14,ANTIOQUIA,EL SANTUARIO,INUNDACION,5697,0,0,0,55,11,1,10,5.697,5,697,5697,7515WLJQ
8147ZZMF,2014-08-14,ARAUCA,ARAUQUITA,INUNDACION,81065,0,0,0,132,44,0,44,81.065,81,065,81065,8147ZZMF
8330EGFD,2014-08-14,MAGDALENA,PLATO,VENDAVAL,47555,0,0,0,110,22,0,22,47.555,47,555,47555,8330EGFD
8985XCAF,2014-08-14,SUCRE,SUCRE,VENDAVAL,70771,0,0,0,1050,210,0,210,70.771,70,771,70771,8985XCAF
2037CHVL,2014-08-14,TOLIMA,SANTA ISABEL,VENDAVAL,73686,0,0,0,0,0,0,0,73.686,73,686,73686,2037CHVL
8979OLCD,2014-08-15,CAUCA,LOPEZ DE MICAY,VENDAVAL,19418,0,0,0,658,150,23,127,19.418,19,418,19418,8979OLCD
2763ZRJD,2014-08-16,CÓRDOBA,MONTELÍBANO,VENDAVAL,23466,0,0,0,1400,280,0,280,23.466,23,466,23466,2763ZRJD
0629DDTH,2014-08-16,QUINDÍO,CALARCÁ,VENDAVAL,63130,0,0,0,15,3,0,3,63.13,63,130,63130,0629DDTH
6084BNDS,2014-08-16,SANTANDER,PIEDECUESTA,VENDAVAL,68547,0,0,0,240,48,0,48,68.547,68,547,68547,6084BNDS
1908OVDW,2014-08-16,SUCRE,LOS PALMITOS,VENDAVAL,70418,0,0,0,50,10,0,10,70.418,70,418,70418,1908OVDW
8954UIWH,2014-08-17,ARAUCA,ARAUCA,VENDAVAL,81001,0,0,0,50,10,0,10,81.001,81,001,81001,8954UIWH
4275OGXR,2014-08-17,MAGDALENA,TENERIFE,VENDAVAL,47798,0,0,0,200,50,0,50,47.798,47,798,47798,4275OGXR
3629YPKV,2014-08-17,META,VILLAVICENCIO,INUNDACION,50001,0,0,0,50,10,0,10,50.001,50,001,50001,3629YPKV
1767HGQM,2014-08-19,CHOCÓ,RIOSUCIO,VENDAVAL,27615,0,0,0,7525,1505,0,1505,27.615,27,615,27615,1767HGQM
2673TQEP,2014-08-19,SANTANDER,CURITÍ,CRECIENTE SUBITA,68229,2,0,0,2,0,0,0,68.229,68,229,68229,2673TQEP
0216NODQ,2014-08-20,ANTIOQUIA,YARUMAL,VENDAVAL,5887,0,0,0,15,3,0,3,5.887,5,887,5887,0216NODQ
3180QBOP,2014-08-20,HUILA,BARAYA,VENDAVAL,41078,0,3,0,15,3,0,3,41.078,41,078,41078,3180QBOP
1463ATRW,2014-08-20,NORTE DE SANTANDER,GRAMALOTE,MOVIMIENTO EN MASA,54313,0,0,0,0,0,0,0,54.313,54,313,54313,1463ATRW
5234LSSF,2014-08-20,QUINDÍO,ARMENIA,VENDAVAL,63001,0,0,0,3,2,0,2,63.001,63,001,63001,5234LSSF
5424WEQE,2014-08-20,SANTANDER,BUCARAMANGA,INUNDACION,68001,0,0,0,15,3,3,0,68.001,68,001,68001,5424WEQE
2704IGUP,2014-08-20,VALLE DEL CAUCA,JAMUNDÍ,VENDAVAL,76364,0,0,0,5,1,0,1,76.364,76,364,76364,2704IGUP
2688YWEI,2014-08-21,QUINDÍO,LA TEBAIDA,VENDAVAL,63401,0,0,0,50,10,0,10,63.401,63,401,63401,2688YWEI
2265QBUA,2014-08-22,CESAR,SAN MARTÍN,VENDAVAL,20770,0,0,0,65,13,0,13,20.77,20,770,20770,2265QBUA
4396LYOR,2014-08-22,QUINDÍO,ARMENIA,MOVIMIENTO EN MASA,63001,0,0,0,5,1,1,0,63.001,63,001,63001,4396LYOR
8694LKRR,2014-08-22,SUCRE,GALERAS,VENDAVAL,70235,0,0,0,725,145,0,130,70.235,70,235,70235,8694LKRR
3352HNZL,2014-08-22,SUCRE,SAN BENITO ABAD,VENDAVAL,70678,0,0,0,850,170,0,170,70.678,70,678,70678,3352HNZL
7184MCWY,2014-08-23,ATLÁNTICO,BARRANQUILLA,INUNDACION,8001,0,0,0,300,60,0,60,8.001,8,001,8001,7184MCWY
7154UHPU,2014-08-23,BOLÍVAR,BARRANCO DE LOBA,VENDAVAL,13074,0,0,0,100,20,0,20,13.074,13,074,13074,7154UHPU
6857ZGDB,2014-08-24,ATLÁNTICO,LURUACO,INUNDACION,8421,0,0,0,300,60,0,60,8.421,8,421,8421,6857ZGDB
3220TBUT,2014-08-25,TOLIMA,IBAGUÉ,INUNDACION,73001,0,0,0,0,0,0,0,73.001,73,001,73001,3220TBUT
4902MIIY,2014-08-26,BOLÍVAR,EL PEÑÓN,VENDAVAL,13268,0,0,0,125,25,0,25,13.268,13,268,13268,4902MIIY
7681ZDIS,2014-08-26,TOLIMA,SANTA ISABEL,VENDAVAL,73686,0,0,0,0,0,0,0,73.686,73,686,73686,7681ZDIS
5179YFRP,2014-08-27,AMAZONAS,LETICIA,VENDAVAL,91001,0,0,0,250,50,0,50,91.001,91,001,91001,5179YFRP
5683GLAU,2014-08-27,ATLÁNTICO,SOLEDAD,VENDAVAL,8758,0,0,0,35,7,0,7,8.758,8,758,8758,5683GLAU
6025USJW,2014-08-27,CÓRDOBA,MONTELÍBANO,INUNDACION,23466,0,0,0,2250,450,0,450,23.466,23,466,23466,6025USJW
0404IRHB,2014-08-27,CUNDINAMARCA,QUETAME,MOVIMIENTO EN MASA,25594,0,0,0,0,0,0,0,25.594,25,594,25594,0404IRHB
9497WAKV,2014-08-27,TOLIMA,LÍBANO,INUNDACION,73411,0,0,0,5,1,0,1,73.411,73,411,73411,9497WAKV
6434FBMH,2014-08-28,CÓRDOBA,PUERTO LIBERTADOR,INUNDACION,23580,0,0,0,4250,850,0,850,23.58,23,580,23580,6434FBMH
3775GBOC,2014-08-28,SUCRE,SAMPUÉS,INUNDACION,70670,0,0,0,448,65,0,65,70.67,70,670,70670,3775GBOC
0118PUNL,2014-08-29,ANTIOQUIA,NECHÍ,INUNDACION,5495,0,0,0,2500,500,0,500,5.495,5,495,5495,0118PUNL
4886FZZM,2014-08-29,CESAR,CHIRIGUANÁ,VENDAVAL,20178,0,0,0,0,0,0,0,20.178,20,178,20178,4886FZZM
2065TMOA,2014-08-30,CAUCA,LA SIERRA,VENDAVAL,19392,0,0,0,70,14,0,14,19.392,19,392,19392,2065TMOA
0482EYHJ,2014-08-30,CAUCA,MIRANDA,VENDAVAL,19455,0,0,0,75,15,0,15,19.455,19,455,19455,0482EYHJ
4540SALZ,2014-09-01,CUNDINAMARCA,PACHO,VENDAVAL,25513,0,0,0,0,0,0,0,25.513,25,513,25513,4540SALZ
6383SXYG,2014-09-02,ANTIOQUIA,APARTADÓ,INUNDACION,5045,0,0,0,100,22,0,22,5.045,5,045,5045,6383SXYG
4824XMEW,2014-09-02,ATLÁNTICO,MANATÍ,VENDAVAL,8436,0,0,0,3250,650,0,650,8.436,8,436,8436,4824XMEW
4023ZZKB,2014-09-02,CASANARE,YOPAL,MOVIMIENTO EN MASA,85001,0,0,0,0,0,0,0,85.001,85,001,85001,4023ZZKB
9380FTOJ,2014-09-02,MAGDALENA,PIVIJAY,VENDAVAL,47551,0,0,0,0,0,0,0,47.551,47,551,47551,9380FTOJ
8216TQBV,2014-09-02,MAGDALENA,REMOLINO,VENDAVAL,47605,0,0,0,0,0,0,0,47.605,47,605,47605,8216TQBV
5647YVMQ,2014-09-02,QUINDÍO,ARMENIA,VENDAVAL,63001,0,0,0,18,7,0,7,63.001,63,001,63001,5647YVMQ
7999QCDT,2014-09-02,RISARALDA,LA CELIA,VENDAVAL,66383,0,0,0,4,1,0,1,66.383,66,383,66383,7999QCDT
0731TXAU,2014-09-02,VALLE DEL CAUCA,CARTAGO,VENDAVAL,76147,0,0,0,65,13,0,13,76.147,76,147,76147,0731TXAU
